"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","515","should allow me to un-mark items as complete","firefox","Tue Mar 11 22:41:42 UTC 2025","passed","Tue Mar 11 22:41:42 UTC 2025","Item","demo-todo-app.spec.js","",""
"","276","should remove completed items when clicked","chromium","Tue Mar 11 22:41:33 UTC 2025","passed","Tue Mar 11 22:41:34 UTC 2025","Clear completed button","demo-todo-app.spec.js","",""
"","426","should append new items to the bottom of the list","firefox","Tue Mar 11 22:41:39 UTC 2025","passed","Tue Mar 11 22:41:39 UTC 2025","New Todo","demo-todo-app.spec.js","",""
"","345","should allow me to display all items","chromium","Tue Mar 11 22:41:35 UTC 2025","passed","Tue Mar 11 22:41:36 UTC 2025","Routing","demo-todo-app.spec.js","",""
"","259","should display the correct text","chromium","Tue Mar 11 22:41:33 UTC 2025","passed","Tue Mar 11 22:41:33 UTC 2025","Clear completed button","demo-todo-app.spec.js","",""
"","282","should allow me to un-mark items as complete","chromium","Tue Mar 11 22:41:31 UTC 2025","passed","Tue Mar 11 22:41:31 UTC 2025","Item","demo-todo-app.spec.js","",""
"","539","should remove the item if an empty text string was entered","firefox","Tue Mar 11 22:41:44 UTC 2025","passed","Tue Mar 11 22:41:45 UTC 2025","Editing","demo-todo-app.spec.js","",""
"","351","should respect the back button","chromium","Tue Mar 11 22:41:35 UTC 2025","passed","Tue Mar 11 22:41:35 UTC 2025","Routing","demo-todo-app.spec.js","",""
"","816","complete all checkbox should update state when items are completed / cleared","webkit","Tue Mar 11 22:41:59 UTC 2025","passed","Tue Mar 11 22:42:00 UTC 2025","Mark all as completed","demo-todo-app.spec.js","",""
"","263","should cancel edits on escape","chromium","Tue Mar 11 22:41:33 UTC 2025","passed","Tue Mar 11 22:41:33 UTC 2025","Editing","demo-todo-app.spec.js","",""
"","618","should cancel edits on escape","webkit","Tue Mar 11 22:42:05 UTC 2025","passed","Tue Mar 11 22:42:06 UTC 2025","Editing","demo-todo-app.spec.js","",""
"","467","should allow me to mark all items as completed","firefox","Tue Mar 11 22:41:39 UTC 2025","passed","Tue Mar 11 22:41:40 UTC 2025","Mark all as completed","demo-todo-app.spec.js","",""
"","502","should trim entered text","firefox","Tue Mar 11 22:41:44 UTC 2025","passed","Tue Mar 11 22:41:44 UTC 2025","Editing","demo-todo-app.spec.js","",""
"","1243","should allow me to add todo items","firefox","Tue Mar 11 22:41:37 UTC 2025","passed","Tue Mar 11 22:41:38 UTC 2025","New Todo","demo-todo-app.spec.js","",""
"","288","should allow me to display active items","chromium","Tue Mar 11 22:41:34 UTC 2025","passed","Tue Mar 11 22:41:35 UTC 2025","Routing","demo-todo-app.spec.js","",""
"","748","should allow me to clear the complete state of all items","webkit","Tue Mar 11 22:41:58 UTC 2025","passed","Tue Mar 11 22:41:59 UTC 2025","Mark all as completed","demo-todo-app.spec.js","",""
"","596","should cancel edits on escape","firefox","Tue Mar 11 22:41:45 UTC 2025","passed","Tue Mar 11 22:41:45 UTC 2025","Editing","demo-todo-app.spec.js","",""
"","508","should save edits on blur","firefox","Tue Mar 11 22:41:43 UTC 2025","passed","Tue Mar 11 22:41:44 UTC 2025","Editing","demo-todo-app.spec.js","",""
"","423","should display the current number of todo items","webkit","Tue Mar 11 22:42:06 UTC 2025","passed","Tue Mar 11 22:42:06 UTC 2025","Counter","demo-todo-app.spec.js","",""
"","548","should highlight the currently applied filter","firefox","Tue Mar 11 22:41:51 UTC 2025","passed","Tue Mar 11 22:41:52 UTC 2025","Routing","demo-todo-app.spec.js","",""
"","195","should clear text input field when an item is added","chromium","Tue Mar 11 22:41:29 UTC 2025","passed","Tue Mar 11 22:41:29 UTC 2025","New Todo","demo-todo-app.spec.js","",""
"","465","should hide other controls when editing","firefox","Tue Mar 11 22:41:43 UTC 2025","passed","Tue Mar 11 22:41:43 UTC 2025","Editing","demo-todo-app.spec.js","",""
"","534","has title","webkit","Tue Mar 11 22:42:12 UTC 2025","passed","Tue Mar 11 22:42:13 UTC 2025","","example.spec.js","",""
"","555","should allow me to clear the complete state of all items","firefox","Tue Mar 11 22:41:40 UTC 2025","passed","Tue Mar 11 22:41:41 UTC 2025","Mark all as completed","demo-todo-app.spec.js","",""
